2018-04-10T09:20:13.740Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:20:14.958Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:20:41.776Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T09:21:19.307Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:22:40.004Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T09:23:41.013Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=87, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T09:25:14.536Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:26:18.470Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:35:13.554Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=4
2018-04-10T09:37:39.781Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T09:52:39.882Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T09:56:13.255Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T10:07:39.966Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=5
2018-04-10T10:21:08.645Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=6
2018-04-10T10:22:39.902Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T10:37:39.936Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=6
2018-04-10T10:41:04.807Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T10:52:39.844Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T11:07:39.878Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T11:15:57.818Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T11:22:39.943Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=5
2018-04-10T11:37:39.852Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T11:52:39.755Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T11:54:59.922Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T12:00:48.507Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T12:07:39.814Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T12:22:39.812Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T12:37:40.459Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T12:52:39.896Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T13:00:13.315Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:00:33.425Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T13:00:35.557Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T13:01:15.323Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T13:01:30.162Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:01:51.283Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T13:02:44.295Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:07:40.172Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T13:07:40.613Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:08:56.584Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:10:20.252Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:10:26.759Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T13:22:39.914Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T13:37:39.877Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T13:52:39.916Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=7
2018-04-10T14:07:39.902Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T14:22:39.920Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T14:29:43.548Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T14:37:39.831Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T14:45:12.374Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T14:52:40.008Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=6
2018-04-10T15:07:40.003Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=5
2018-04-10T15:22:39.922Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T15:30:02.830Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T15:37:39.795Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=3
2018-04-10T15:44:54.488Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T15:45:17.015Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T15:46:11.124Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T15:46:56.809Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T15:52:39.854Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T16:04:55.674Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=4
2018-04-10T16:07:40.049Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=6
2018-04-10T16:22:39.804Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=6
